"id","edad","educacion","sexo","localidad","af","cfk","fe","mm","hrl","fm","jm","lc","tf","afi","vc","fa","ms","fas","ds"
"419","55 años o más","Secundaria INCOMPLETA","Mujer","La Tablada",1,2,1,1,1,1,1,0,0,0,2,0,2,0,1
"420","Entre 25 y 34 años","Universitario INCOMPLETO","Mujer","Lomas del Mirador",-2,3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,-2
"421","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Virrey del Pino",-3,-3,-3,0,-3,0,2,0,0,0,0,0,0,0,0
"422","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Isidro Casanova",1,-1,-1,-1,1,0,0,0,0,0,1,-1,0,0,-1
"423","Entre 35 y 54 años","Posgrado y más","Hombre","Isidro Casanova",1,2,-1,-3,-3,-1,-3,0,-1,-3,-3,-3,-2,0,1
"424","Entre 35 y 54 años","Universitario INCOMPLETO","Hombre","Laferrere",-3,-3,-3,1,3,0,3,0,0,0,1,-3,1,0,-1
"425","Entre 25 y 34 años","Secundaria INCOMPLETA","Mujer","La Tablada",-1,-3,-1,-1,1,0,-1,0,0,1,-1,-1,1,0,1
"426","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Isidro Casanova",1,1,1,1,1,1,0,0,0,0,-2,0,1,0,1
"427","Entre 25 y 34 años","Universitario INCOMPLETO","Hombre","Isidro Casanova",-3,-3,-3,-3,-3,-2,-2,0,-2,0,-3,0,0,0,-2
"428","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Villa Madero",1,2,-3,-3,-3,-2,-3,0,0,-2,-3,0,-1,0,-1
"429","Entre 35 y 54 años","Secundaria INCOMPLETA","Hombre","Villa Luzuriaga",2,2,1,-3,-2,0,-3,0,0,0,-3,1,0,0,-2
"430","Entre 35 y 54 años","Universitario COMPLETO","Mujer","Lomas del Mirador",2,-2,-2,-3,2,0,0,0,0,-2,-2,0,1,0,1
"431","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Villa Madero",-3,-3,-2,-2,2,2,-3,0,0,0,-3,-2,2,0,-3
"432","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","Lomas del Mirador",-1,1,1,-1,-1,-1,0,0,0,0,-2,1,0,0,-3
"433","Entre 35 y 54 años","Primaria COMPLETA","Mujer","Laferrere",3,3,1,-3,1,1,0,0,3,1,2,1,2,0,2
"434","55 años o más","Secundaria COMPLETA","Mujer","Lomas del Mirador",-3,-3,-3,2,-3,-3,3,0,0,0,3,0,0,-2,-3
"435","55 años o más","Terciario COMPLETO","Hombre","San Justo",-2,-3,-3,1,3,3,-2,0,1,2,-2,1,-1,-2,-2
"436","55 años o más","Terciario COMPLETO","Mujer","Ciudad Evita",-3,-3,-3,3,1,1,-3,0,3,3,3,3,1,0,-3
"437","Entre 35 y 54 años","Terciario INCOMPLETO","Mujer","San Justo",1,3,1,-3,-3,-3,-3,0,0,0,-3,-3,0,-3,1
"438","Entre 35 y 54 años","Universitario INCOMPLETO","Mujer","Ramos Mejía",-1,-2,-2,-2,1,2,-2,0,-2,0,-2,1,0,0,-1
"439","55 años o más","Secundaria INCOMPLETA","Mujer","20 de Junio",-2,3,2,-3,2,0,-1,0,0,0,-3,0,0,0,2
"440","Entre 35 y 54 años","Secundaria INCOMPLETA","Hombre","Ciudad Evita",1,2,1,-3,1,0,-1,0,0,0,-2,0,0,0,1
"441","55 años o más","Secundaria COMPLETA","Hombre","Lomas del Mirador",-3,-3,-3,1,1,3,2,0,2,1,2,2,0,0,-2
"442","Entre 25 y 34 años","Universitario INCOMPLETO","Mujer","Lomas del Mirador",-1,-3,-3,-1,1,0,-1,0,0,0,-3,0,0,0,-3
"443","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","Lomas del Mirador",-1,-3,-3,-3,-3,-1,-1,0,-1,-2,-1,0,0,0,-1
"444","Entre 25 y 34 años","Terciario COMPLETO","Mujer","Villa Madero",-3,-3,-3,-3,-1,-3,-3,0,0,-1,-1,0,-1,0,-3
"445","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Virrey del Pino",-2,1,-3,-3,-3,0,-2,0,0,0,-3,0,1,0,-2
"446","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Virrey del Pino",1,3,-1,-2,-2,0,1,0,0,0,-2,0,0,0,1
"447","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Rafael Castillo",1,3,-1,-2,1,-1,-1,0,0,0,-2,-1,0,0,-2
"448","Entre 35 y 54 años","Universitario INCOMPLETO","Hombre","Lomas del Mirador",-3,-3,-3,2,3,-1,-2,0,2,2,2,3,-2,0,-3
"449","Entre 35 y 54 años","Terciario COMPLETO","Mujer","San Justo",-2,-3,-3,-2,-1,2,-2,0,-1,-2,-1,1,1,0,-2
"450","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Villa Luzuriaga",1,-2,-1,-2,-1,0,-1,0,-1,0,-2,0,0,0,1
"451","Entre 25 y 34 años","Terciario COMPLETO","Mujer","González Catán",3,3,3,-1,0,0,0,0,0,0,-1,2,2,0,2
"452","55 años o más","Terciario COMPLETO","Mujer","Aldo Bonzi",-2,-3,-3,-2,3,2,-3,0,0,0,-3,0,0,0,-3
"453","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Isidro Casanova",0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,-3
"454","Entre 35 y 54 años","Terciario COMPLETO","Mujer","San Justo",-2,-1,2,2,2,3,3,0,0,1,3,2,1,-1,-2
"455","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Villa Luzuriaga",2,-1,1,-2,-2,0,-2,0,0,-2,-2,0,0,0,-2
"456","Entre 25 y 34 años","Universitario COMPLETO","Mujer","González Catán",1,2,-3,-3,-3,-1,-3,0,-3,1,-3,1,-2,-2,-3
"457","55 años o más","Secundaria INCOMPLETA","Hombre","San Justo",2,2,1,-3,-3,1,-3,0,-2,0,-3,-3,-1,0,1
"458","55 años o más","Universitario INCOMPLETO","Mujer","La Tablada",-3,-3,-3,-2,1,0,0,0,-2,0,0,0,-2,-2,-3
"459","Entre 25 y 34 años","Terciario INCOMPLETO","Mujer","González Catán",3,3,-3,-3,-2,-1,-3,0,0,-1,-3,0,-1,0,-3
"460","55 años o más","Secundaria COMPLETA","Mujer","Villa Luzuriaga",1,3,1,-3,-2,1,-3,0,0,0,-3,0,0,0,1
"461","55 años o más","Secundaria INCOMPLETA","Hombre","Laferrere",-2,-2,-1,2,2,1,2,0,2,3,2,3,1,0,1
"462","Entre 35 y 54 años","Terciario INCOMPLETO","Mujer","Aldo Bonzi",-3,-3,-2,-1,1,3,2,0,0,0,3,0,2,0,-1
"463","Entre 25 y 34 años","Universitario INCOMPLETO","Hombre","Villa Luzuriaga",1,-1,-2,-1,1,0,-3,0,0,0,-3,0,0,0,-1
"464","Entre 16 y 24 años","Secundaria COMPLETA","Hombre","González Catán",-3,-3,-2,1,-1,-1,2,0,0,0,-3,-3,0,0,-1
"465","Entre 35 y 54 años","Secundaria INCOMPLETA","Hombre","Rafael Castillo",1,3,-3,-3,-3,-3,-3,0,0,0,-3,-1,0,0,-2
"466","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Rafael Castillo",3,3,2,-2,-2,0,-3,0,0,0,2,0,0,0,2
"467","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","Lomas del Mirador",1,3,1,-3,-2,-2,-3,0,-3,-2,-3,-3,-2,0,2
"468","Entre 35 y 54 años","Universitario INCOMPLETO","Mujer","Laferrere",3,2,-1,-3,-2,1,-3,0,0,0,-3,1,1,0,1
"469","Entre 25 y 34 años","Primaria INCOMPLETA","Hombre","La Tablada",2,2,2,-2,0,0,-3,0,0,0,-1,0,0,0,1
"470","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","Virrey del Pino",1,1,1,-3,-1,0,-3,0,0,0,-3,0,-1,0,2
"471","55 años o más","Universitario INCOMPLETO","Hombre","Ciudad Evita",-1,3,1,-3,-3,-2,-3,0,-1,-3,-3,-2,-2,0,-2
"472","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","Villa Luzuriaga",2,1,-1,-3,-2,0,2,0,0,0,-2,0,0,0,1
"473","Entre 35 y 54 años","Secundaria INCOMPLETA","Hombre","San Justo",1,3,1,-3,-3,-1,-3,0,-3,0,-3,0,-3,-2,2
"474","Entre 25 y 34 años","Terciario INCOMPLETO","Hombre","Rafael Castillo",0,1,-1,1,1,-1,-1,0,0,0,2,2,0,0,1
"475","55 años o más","Terciario INCOMPLETO","Hombre","Villa Luzuriaga",-3,-3,-3,3,1,-1,1,0,3,0,1,3,0,0,-3
"476","Entre 35 y 54 años","Terciario INCOMPLETO","Mujer","Ciudad Evita",-1,3,-2,-3,-2,-3,-3,0,0,0,-3,0,0,0,1
"477","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Rafael Castillo",-1,-1,1,2,2,0,2,0,0,2,-2,0,1,0,-1
"478","Entre 35 y 54 años","Primaria COMPLETA","Hombre","González Catán",3,3,3,-2,-1,1,1,0,0,0,-3,0,1,0,2
"479","55 años o más","Secundaria COMPLETA","Hombre","La Tablada",-1,-3,-2,1,2,2,1,0,1,-1,2,2,0,0,-2
"480","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Aldo Bonzi",-1,1,-3,-3,-3,0,-2,0,0,-1,0,-1,-3,-3,-1
"481","55 años o más","Secundaria INCOMPLETA","Mujer","Isidro Casanova",1,-3,-2,-3,-1,1,-3,0,0,0,-3,-2,1,0,-2
"482","Entre 25 y 34 años","Universitario COMPLETO","Hombre","Ramos Mejía",-2,-3,-3,1,2,-1,-1,0,-1,0,2,0,-1,-2,-3
"483","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Isidro Casanova",-1,0,-3,-1,-1,0,-1,0,0,-1,1,-1,0,0,0
"484","Entre 16 y 24 años","Terciario INCOMPLETO","Mujer","Villa Celina",1,-1,1,-3,-1,2,1,0,0,0,-3,0,0,0,1
"485","Entre 35 y 54 años","Universitario COMPLETO","Hombre","Ciudad Evita",-3,-3,-3,-2,-2,-2,2,0,-2,0,-2,1,0,0,-3
"486","55 años o más","Terciario COMPLETO","Mujer","Ciudad Evita",-2,-3,-3,1,1,1,-1,0,1,1,1,2,1,0,-2
"487","55 años o más","Posgrado y más","Hombre","Ciudad Evita",-1,3,2,-3,-3,-2,-3,0,-3,-2,-3,-2,-1,0,2
"488","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Ramos Mejía",2,1,0,-1,-1,0,1,0,0,0,-3,-2,0,0,1
"489","Entre 25 y 34 años","Terciario INCOMPLETO","Mujer","Villa Madero",1,3,1,-3,-2,0,-3,0,0,0,-2,0,0,0,2
"490","Entre 35 y 54 años","Universitario COMPLETO","Mujer","San Justo",-3,-3,-3,2,2,2,1,0,0,0,-1,-1,0,-3,-3
"491","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Isidro Casanova",2,1,-1,-3,2,0,-1,0,0,0,-3,0,1,0,2
"492","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Villa Luzuriaga",-3,-1,-3,-3,-1,-1,-2,0,0,0,-3,0,0,0,0
"493","Entre 35 y 54 años","Terciario INCOMPLETO","Hombre","San Justo",-3,-1,-1,1,-1,-1,2,0,2,2,1,2,1,0,-2
"494","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Ramos Mejía",1,-2,-3,-3,-3,-2,-2,0,0,1,-1,2,0,2,1
"495","Entre 16 y 24 años","Terciario INCOMPLETO","Mujer","Laferrere",-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,-3
"496","55 años o más","Secundaria COMPLETA","Mujer","San Justo",-3,-3,-2,1,2,2,1,0,1,3,3,2,0,1,-3
"497","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Isidro Casanova",-1,-1,-2,-3,1,-2,-1,0,0,0,-3,0,-1,0,1
"498","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Virrey del Pino",1,1,-2,-3,-3,0,0,0,0,0,-2,0,-1,-1,-1
"499","Entre 16 y 24 años","Terciario INCOMPLETO","Mujer","Isidro Casanova",-2,1,-3,-3,1,-1,1,0,0,0,-3,-3,-3,0,1
"500","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Villa Celina",-3,-3,-3,2,2,0,1,0,1,0,-1,0,0,0,-2
"501","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Laferrere",-3,-3,-3,-2,-3,0,-2,0,0,0,-3,-1,-1,0,-1
"502","Entre 25 y 34 años","Universitario COMPLETO","Mujer","Virrey del Pino",-1,-2,-3,-2,1,0,1,0,0,0,-2,0,-2,0,-1
"503","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","González Catán",-1,-3,-3,3,3,2,2,0,-1,-1,1,0,-1,0,-2
"504","55 años o más","Universitario COMPLETO","Hombre","Ramos Mejía",-3,-3,-3,-1,1,0,1,0,2,2,2,2,0,0,-3
"505","Entre 35 y 54 años","Universitario INCOMPLETO","Mujer","Rafael Castillo",2,2,-1,-3,-3,-2,-3,0,-3,0,-3,0,-2,0,1
"506","Entre 16 y 24 años","Secundaria COMPLETA","Hombre","Laferrere",-3,-3,-3,1,2,1,1,0,0,0,-1,0,1,0,-2
"507","Entre 25 y 34 años","Universitario INCOMPLETO","Mujer","San Justo",-2,-3,-3,-1,1,0,0,0,0,0,-3,0,0,0,-1
"508","Entre 35 y 54 años","Terciario INCOMPLETO","Mujer","Isidro Casanova",-3,-3,-3,1,3,3,1,0,2,-2,-2,1,-2,0,-3
"509","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","Isidro Casanova",-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,0,-3,0,-3
"510","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Lomas del Mirador",-3,-3,-3,-2,-2,1,-1,0,0,0,-3,0,0,0,-3
"511","Entre 16 y 24 años","Terciario COMPLETO","Mujer","Rafael Castillo",1,1,-3,-2,1,0,-1,0,0,0,-3,0,0,0,2
"512","55 años o más","Secundaria INCOMPLETA","Mujer","González Catán",3,3,1,-3,-3,-2,-3,0,-3,-3,-3,-3,0,0,3
"513","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","González Catán",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"514","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Isidro Casanova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"515","55 años o más","Terciario COMPLETO","Hombre","Virrey del Pino",1,3,-1,-3,-2,-1,-3,0,-3,-2,-3,-2,-2,0,2
"516","Entre 25 y 34 años","Universitario COMPLETO","Mujer","Lomas del Mirador",1,3,-3,-3,-3,0,-3,0,-3,0,-3,0,0,0,1
"517","55 años o más","Terciario INCOMPLETO","Hombre","González Catán",-1,2,-2,-2,-1,0,-2,0,0,0,-2,-2,0,0,2
"518","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Lomas del Mirador",-3,-3,-1,-2,1,0,-1,0,0,1,2,2,1,-1,-2
"519","Entre 16 y 24 años","Terciario COMPLETO","Mujer","Virrey del Pino",2,2,-3,-2,1,0,1,0,0,0,-3,0,0,0,1
"520","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Villa Celina",1,-2,-3,-3,1,1,3,0,0,0,-2,0,0,0,1
"521","Entre 25 y 34 años","Universitario INCOMPLETO","Mujer","Villa Madero",-1,3,-3,-3,-3,-3,-3,0,0,-3,-3,0,0,0,-1
"522","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Isidro Casanova",-3,-3,-1,-1,1,0,1,0,0,0,2,-1,0,0,-3
"523","55 años o más","Secundaria COMPLETA","Mujer","Isidro Casanova",2,2,2,-3,-3,-2,-3,0,0,0,-3,0,-1,0,2
"524","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Laferrere",1,2,-2,-2,-2,1,-2,0,-2,-1,-2,1,-1,-1,-1
"525","Entre 35 y 54 años","Primaria COMPLETA","Mujer","González Catán",1,1,-1,-2,1,0,0,0,0,0,-2,0,0,0,1
"526","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Laferrere",3,3,1,-3,-3,-3,-3,0,0,-3,-3,0,-3,0,1
"527","55 años o más","Secundaria COMPLETA","Hombre","Ramos Mejía",-3,-3,-3,-1,2,2,-1,0,1,1,1,1,0,0,-3
"528","Entre 25 y 34 años","Universitario INCOMPLETO","Mujer","Ramos Mejía",-3,-3,-3,1,1,1,-1,0,-1,0,-1,0,-2,-2,-3
"529","Entre 25 y 34 años","Terciario INCOMPLETO","Hombre","Isidro Casanova",-3,-3,-3,-2,1,2,1,0,-3,-2,-1,0,0,0,-3
"530","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Villa Celina",1,-1,-1,-1,1,2,-1,0,1,1,3,0,0,0,2
"531","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","Ramos Mejía",-3,-3,-3,1,1,-1,1,0,1,2,2,3,2,1,-3
"532","55 años o más","Secundaria INCOMPLETA","Hombre","Laferrere",-3,-3,-3,-1,2,1,1,0,2,1,-1,0,-2,-1,-1
"533","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","Ciudad Evita",-1,-3,-3,-1,1,1,1,0,-2,-2,-2,1,-3,0,-3
"534","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","González Catán",-1,2,-2,-3,1,2,-1,0,0,0,-3,0,0,0,2
"535","Entre 16 y 24 años","Terciario INCOMPLETO","Mujer","Ramos Mejía",1,1,-1,-1,-2,0,-2,0,0,0,-3,0,1,0,-1
"536","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","Laferrere",-2,-2,-2,-1,1,0,1,0,0,0,1,1,-1,0,-3
"537","Entre 25 y 34 años","Terciario INCOMPLETO","Mujer","Laferrere",1,1,1,-2,2,-1,-3,0,0,-1,-2,0,1,0,-1
"538","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","González Catán",-2,-2,-2,-2,-2,0,-1,0,0,0,-2,0,-2,0,-1
"539","Entre 25 y 34 años","Terciario COMPLETO","Mujer","Laferrere",1,1,-1,-2,1,0,-3,0,-1,0,-2,0,0,0,1
"540","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","Laferrere",2,-3,-3,-3,1,1,-2,0,0,0,-3,1,0,0,-2
"541","55 años o más","Secundaria INCOMPLETA","Hombre","Lomas del Mirador",-3,-3,-3,-1,1,2,1,0,0,0,1,3,0,0,-3
"542","Entre 35 y 54 años","Terciario INCOMPLETO","Mujer","La Tablada",-1,-1,-3,-3,-1,-1,-3,0,-1,0,-3,0,-3,0,-1
"543","55 años o más","Terciario COMPLETO","Hombre","Villa Celina",-3,-3,-3,-3,0,0,2,0,2,2,3,3,1,0,-3
"544","Entre 35 y 54 años","Universitario COMPLETO","Hombre","Ramos Mejía",-2,-3,-3,3,3,-1,-1,0,3,1,1,3,0,0,-1
"545","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","González Catán",3,3,3,-3,-3,0,-2,0,0,0,-2,0,0,0,2
"546","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Rafael Castillo",2,2,2,1,2,1,2,0,1,1,-3,1,1,1,1
"547","Entre 35 y 54 años","Universitario COMPLETO","Mujer","González Catán",1,2,1,-1,-1,0,-3,0,0,0,-3,0,0,0,1
"548","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Rafael Castillo",1,2,-2,-2,-2,0,0,0,-1,0,-2,0,-2,0,1
"549","55 años o más","Secundaria COMPLETA","Mujer","Lomas del Mirador",0,3,-3,0,3,0,1,0,0,-1,-1,-1,-2,1,-1
"550","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Laferrere",2,3,1,-2,-2,-1,-3,0,-3,1,-3,1,-2,-1,2
"551","Entre 35 y 54 años","Primaria INCOMPLETA","Mujer","Villa Madero",3,3,2,-3,3,0,3,0,0,0,-3,0,2,0,2
"552","Entre 35 y 54 años","Universitario COMPLETO","Mujer","Isidro Casanova",-3,-2,-3,-3,-3,0,-3,0,0,0,-3,0,0,0,-3
"553","55 años o más","Terciario COMPLETO","Hombre","Laferrere",2,3,2,-3,-3,-2,-3,0,0,-3,-3,0,-3,-3,2
"554","55 años o más","Secundaria INCOMPLETA","Mujer","González Catán",-2,-2,1,2,3,0,0,0,0,0,-1,0,1,0,-1
"555","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Laferrere",-2,-3,-3,1,2,0,3,0,0,0,-1,0,0,0,1
"556","Entre 25 y 34 años","Terciario COMPLETO","Mujer","San Justo",-3,-3,-3,1,-1,-3,-1,0,-3,-1,-1,-1,0,-3,-3
"557","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Ciudad Evita",-3,-3,-2,-2,1,-1,1,0,0,0,1,1,0,0,-1
